1,甚,甚だ,非常に,とても,
2,太,太(ﾊﾅﾊﾀﾞ)だ,非常に,とても,
3,最,最も,とりわけ,何よりも,
4,尤,尤(ﾓｯﾄﾓ)も,とりわけ,何よりも,
5,殊,殊(ｺﾄ)に,とりわけ,,
6,至,至って,非常に,このうえなく,
7,皆,皆,すべて,,
8,尽,尽(ｺﾄｺﾞﾄ)く,すべて,,
9,悉,悉(ｺﾄｺﾞﾄ)く,すべて,,
10,勝,勝(ｱ)げて,すべて,,
11,具,具(ﾂﾌﾞｻ)に,すべて,くわしく,
12,審,審(ﾂﾏﾋﾞﾗ)かに,くわしく,,
13,一,一(ｲﾂ)に,みな,一様に,専ら
14,凡,凡(ｵﾖ)そ,おおよそ,すべて,
15,略,略(ﾎﾎﾞ),おおよそ,,
16,嘗,嘗て,以前に,,
17,曾,曾て,以前に,,
18,向,向(ｻｷ)に,以前,もし,
19,郷,郷(ｻｷ)に,以前,もし,
20,初,初め,以前,,
21,始,始め,以前,,
22,始,始めて,ーしてようやく,,
23,已,已に,もうーしている,,
24,既,既に,もうーしている,,
25,暫,暫く,少しの間,,
26,須兜,須兜にして,わずかの間,,
27,姑,姑く,とりあえず,,
28,且,且(ｼﾊﾞﾗ)く,とりあえず,,
29,遂,遂に,そうして,そのまま,
30,竟,竟(ﾂﾋ)に,結局,,
31,終,終に,最後には,最後まで,
32,卒,卒に,最後には,,
33,忽,忽ち,いつのまにか,,
34,卒,卒かに,急に,,
35,遽,遽かに,急に,,
36,俄,俄かに,急に,,
37,徐,徐(ｵﾓﾑﾛ)に,静かに,ゆっくりと,
38,方,方に,ちょうどーしているとこと,,
39,方,方(ﾊｼﾞ)めて,ーしてはじめて,,
40,猶,猶ほ,まだ,やはり,
41,尚,尚ほ,そのうえ,まだ,やはり
42,且,且つ,そのうえ,,
43,将,将(ﾊ)た,あるいは,それとも,
44,蓋,蓋し,思うに,,
45,果,果して,思った通り,実際に,
46,其,其れ,そもそも,なんと,
47,夫,夫れ,そもそも,,
48,抑,抑(ｿﾓｿﾓ),しかしながら,あるいは,
49,愈,愈(ｲﾖｲﾖ),ますます,,
50,弥,弥(ｲﾖｲﾖ),ますます,,
51,益,益(ﾏｽﾏｽ),ますます,,
52,偶,偶(ﾀﾏﾀﾏ),偶然,,
53,適,適(ﾀﾏﾀﾏ),ちょうど,,
54,会,会(ﾀﾏﾀﾏ),ちょうど,,
55,数,数(ｼﾊﾞｼﾊﾞ),何度も,,
56,屡,屡(ｼﾊﾞｼﾊﾞ),たびたび,,
57,交,交(ｺﾓｺﾞﾓ),かわるがわる,,
58,更,更(ｺﾓｺﾞﾓ),かわるがわる,,
59,固,固より,もともと,当然,
60,故,故より,もともと,前から,
61,素,素より,もともと,普段,
62,毎,毎(ﾂﾈ)に,いつも,,
63,漸,漸(ﾖｳﾔ)く,だんだんと,,
64,稍,稍(ﾔﾔ),少しばかり,だんだんと,
65,絶,絶えて,決して（ーない）,,
66,更,更に,いっそう,そのほかに,
67,殆,殆ど,もう少しで,あやうく,
68,幾,幾(ﾎﾄﾝ)ど,もう少しで,あやうく,
69,或,或いは,場合によっては,,
70,反,反つて,逆に,,
71,誠,誠に,本当に,,
72,信,信に,本当に,,
73,実,実(ﾏｺﾄ)に,本当に,,
74,善,善く,上手に,,
75,妄,妄(ﾐﾀﾞ)りに,むやみに,いい加減に,
76,徒,徒(ｲﾀﾂﾞﾗ)に,無駄に,意味もなく,
77,因,因りて,そこで,,
78,故,故に,そこで,,
79,故,故(ｺﾄｻﾗ)に,わざと,,
80,則,則ち,ならば,なので,
81,乃,乃ち,そこで,ようやく,なんと
82,即,即ち,すぐ,ほかでもなく,
83,便,便ち,すぐ,ほかでもなく,
84,輒,輒ち,そのごとに,,
85,又,又,そのうえ,,
86,亦,亦た,同じように,やはり,
87,復,復た,もう一度,,
88,自,自ら,自分で,自分を,
89,自,自(ｵﾉｽﾞｶ)ら,自然と,勝手に,
90,親,親ら,自分で,,
91,相,相,相互に,相手を,
92,願,願はくは,ーしたい,ーしてほしい,
93,庶幾,庶幾(ｺﾋﾈｶﾞ)はくは,ーしたい,ーしてほしい,
94,毎ㇾー,―する毎に,ーするたびに,,
95,未ㇾ幾,未だ幾ならずして,まもなく,,
96,無ㇾ幾,幾も無くして,まもなく,,
97,於ㇾ是,是に於いて,そこで,,
98,是以,是を以て,そこで,,
99,以ㇾ是,是を以て,それで,それを,
100,自ㇾ是,是より,それから,,
101,如ㇾ是,是(ｶ)くのごとし,このようだ,,
102,然則,然らば則ち,そうであるならば,,
103,然後,然る後に,そののち,,
104,然而,然り而して,そして,,
105,然雖,然りと雖も,そうとはいっても,,
106,不ㇾ然,然らず,そうではない,,
107,否則,否(ｼｶﾗ)ずんば則ち,そうでなければ,,
108,何則,何となれば則ち,なぜならば,,
109,所謂,所謂(ｲﾜﾕﾙ),世に言う,,
110,所以,所以(ﾕｴﾝ),理由,手段,
