1,未ㇾー,未だーず,まだーない,,
2,将ㇾー,将にーせんとす,ーしようとしている,,
3,且ㇾー,且にーせんとす,ーしようとしている,,
4,当ㇾー,当にーすべし,ーしなければならない,ーするにちがいない,
5,応ㇾー,応にーすべし,ーするだろう,,
6,須ㇾー,須らくーすべし,ーしなければなない,ーする必要がある,
7,宜ㇾー,宜しくーすべし,ーしたほうが良い,,
8,猶ㇾー,猶ほーのごとし,まるでーと同じだ,まるでーのようだ,
9,無ㇾ不₂ー₁,ーせざる(は)無し,ーしないことはない,必ずーする,
10,莫ㇾ不₂ー₁,ーせざる(は)莫し,ーしないことはない,必ずーする,
11,非ㇾ不₂－₁,ーせざるに非ず,ーしないわけではない,ーする,
12,不ㇾ可ㇾ不₂ー₁,ーせざるべからず,ーしないわけにはいかない,,
13,不ㇾ得ㇾ不₂ー₁,せざるを得ず,ーしないわけにはいかない,,
14,未₃嘗不₂ー₁,未だ嘗てーせずんばあらず,ーしなかったことはない,ずっとーしてきた,
15,未₃必不₂ー₁,未だ必ずしもーせずんばあらず,かならずしもーしないわけではない,ーする場合もある,
16,不₃敢不₂ー₁,敢へてーせずんばあらず,ーしないわけにはいかない,必ずーする,
17,不₂ー₁不₂～₁,ーせざれば～せず,ーしなければ～しない,,
18,非₂ー₁不₂～₁,ーに非ざれば～せず,ーでなければ～しない,,
19,不₂必ー₁,必ずしもーせず,必ずしもーするとは限らない,ーする必要はない,
20,必不₂ー₁,必ずーせず,必ずーしない(全否定),,
21,不₂常ー₁,常にはーせず,いつもーするわけではない,,
22,常不₂ー₁,常にーせず,いつもーしない(全否定),,
23,不₂復ー₁,復たーせず,二度とーしない,,
24,不₂倶ー₁,俱にはーせず,二人ともーすることはない,,
25,不₂尽ー₁,尽(ｺﾄｺﾞﾄ)くはーせず,すべてーするわけではない,,
26,不₂甚ー₁,甚だしくはーせず,とてもーというわけではない,,
27,不₂重ー₁,重ねてはーせず,ふたたびーすることはない,,
28,勿ㇾー,ーする勿かれ,ーしてはいけない(禁止),,
29,不₂敢ー₁,敢へてーせず,わざわざーしたりしない,ーする勇気がない,
30,敢不₂ー₁,敢へてーせざらんや,ーしないことなどあろうか(反語),ーしないわけにはいかない,
31,不₂肯ー₁,肯へてーせず,進んでーする気にならない,,
32,不ㇾ肯ㇾー,ーするを肯ぜず,ーすることに賛成しない,,
33,可ㇾー,ーすべし,ーできる,ーしたほうがよい,ーしなければならない
34,不ㇾ可ㇾー,ーすべからず,ーできない,ーしてはいけない,
35,能ー,能くーす,ーできる,,
36,不ㇾ能ㇾー,ーする能はず,ーできない,,
37,得ㇾー,ーするを得たり,ーできる,,
38,不ㇾ得ㇾー,ーするを得ず,ーできない,,
