1,あからさまなり,形動,ほんのちょっと,,
2,あからめ,名,わき見、よそ見,浮気,
3,あきらむ,動,あきらかにする,,
4,あさまし,形,驚きあきれるほどだ,意外だ,
5,あさむ,動,驚きあきれる,意外に思う,馬鹿にする
6,あし,形,悪い,,
7,あそび,名,管弦のあそび,,
8,あだなり,形動,浮気だ,はかない,
9,あたらし,形,惜しい,,
10,あてなり,形動,上品だ,高貴だ,
11,あなかしこ～禁止,副,決して～するな,,
12,あはれなり,形動,しみじみと心に深く感じられる,,
13,あまた,副,たくさん,,
14,あやし,形,不思議だ,みすぼらしい,身分が低い
15,あやなし,形,筋が通らない,わけがわからない,
16,ありがたし,形,めったにない,めったにないほど優れている,
17,ありく,動,動き回る,,
18,いうなり,形動,優美だ、上品だ,,
19,いかで～①推量/②願望・意志,副,どうして～だろうか,なんとかして～したい,～したい
20,いそぎ,名,準備,,
21,いたし,形,すばらしい,ひどい,たいそう
22,いたづらなり,形動,無駄だ,役に立たない,むなしい
23,いたづらになる,慣,死ぬ,,
24,いつく,動,大切に育てる,,
25,いつしか,副,いつのまにか,早く(～たい・～てほしい),
26,いと,副,たいそう,それほど～(ない),
27,いときなし、いとけなし、いはけなし,形,あどけない,幼い,
28,いとど,副,ますます,,
29,いとふ,動,いやがる,(「世をいとふ」の形で)出家する,
30,いとほし,形,気の毒だ,,
31,いぶかし,形,気がかりだ,知りたい,
32,いふもおろかなり,慣,言い尽くせない,,
33,いふもさらなり、いへばさらなり,慣,言うまでもない,,
34,いまいまし,形,不吉だ,,
35,いみじ,形,すばらしい,ひどい,とても
36,うし,形,いやだ,つらい,
37,うしろみる,動,世話をする,後見する,
38,うしろめたし、うしろめたなし,形,気がかりだ,不安だ,
39,うたてし,形,いやだ,嘆かわしい,
40,うち(内・内裏),名,宮中,天皇,
41,うつくし,形,かわいらしい,,
42,うへ,名,天皇,奥方,
43,うるはし,形,きちんとしている,整っている,
44,え～打消,副,～できない,,
45,えんなり,形動,優美だ,,
46,おいらかなり,形動,穏やかである,おっとりとする,
47,おこたる,動,病気がよくなる,,
48,おこなふ,動,仏道修行する,,
49,おとなし,形,大人びている,思慮分別がある,
50,おどろく,動,目を覚ます,ハッと気づく,
51,おほかた～打消,副,まったく～ない,,
52,おぼつかなし,形,はっきりしない,きがかりだ,待ち遠しい
53,おぼろけなり,形動,並々である,並大抵でない,
54,おもしろし,形,風流だ,すばらしい,たのしい
55,おもはずなり,形動,意外だ,思いがけない,
56,おろかなり,形動,いい加減だ,(「～とはおろかなり」で)～ということでは言い尽くせない,
